index	sentence
92	Great reminder to # hodl 1151933551790755840   … $ 
93	The Convergence Manifesto vergence - manifesto - 299662d6dff7   … @ SilicaNexus # SilicaNexus $ 
94	 @ tweet _ stamp stamp $ 
95	"Everyone - read this . It doesn ' t discuss bitcoin but since you like bitcoin you ' ll be thinking about it the whole time anyway . My main takeaway was that trading makes the "" casinos "" rich while you get rekt . HODL . wn - Wall - Street / dp / 1324002182   … $ "
96	Broke the 400 followers resistance - “A small step for most of you CT OGs out there but a huge step for me” Thanks to all of u who made this possible ; ) ) $ 
97	Localized offices provides localized # Merchants & customer support , # Crypto edu . , research & devt . to help develop trust w / n the currency . # BIZpaye # Marketplace # HODL # BarterCredit # cryptotrading # BTC # OnlineShopping # B2B # B2C # retail @ BIZpaye   $ 
98	WOW - Court Declares Bitcoin Legal in China as a ‘Virtual Property’ buff . ly / 2GjRibU   # Bitcoin # Ethereum # blockchain # crypto # libra # hodl # finance # money # dollar # cash # refinance # euro # facebook # instagram # whatsapp # uber # lyft # paypal # visa # mastercard # apple # amazon $ 
99	$ LINK # Chainlink Grinding it ' s way to $3 Doing what she does best Let ' s ROLL LINK Leave the TRADERS and Scalpers and GOONS BEHIND . HODL Y ' all IMO $ 
100	“Level Playing Field” Hodl # XRP ! ! Wonka Knows ! ! $ 
101	Oh , yeah , I would say no shot either , just saying if it HAD . . . $ 
102	Just wait until congress has its core conspiracy moment like so many altcoiners before them and drags American core devs in to testify . $ 
103	Что происходит с первой криптовалютой этим утром . 7 - 19 / kurs - bitkoina - za - polchasa - podskochil - bolee - chem - na - 1000 /   … $ 
104	it def has absorbed well . I do caution tho Crypto news ansorbation is way more random then other markets . it’s usually delayed reaction but this is just going on feel and not we shall see . so far so good . $ 
105	To be fair it ' s not an issue if you ' re doing propper coin control . The problem is that not many people know coin control . For example . . my original change that didnt get coinjoined never gets stored in the wallet with my mixed coins . $ 
106	And just like that , they all pumped in unison about an hour later . There is no actual price discovery , just trading for gains and loses . If it isn ' t already clear , Hodl , don ' t trade . Unless of course you are one of the few who can survive in such a speculative game . $ 
107	As you can see Meltem has been playing good cop / bad cop her entire bitcoin career . 1023990885481148422   … $ 
108	Ha ! no idea if I ' d suck at trading or not . Probably . I ' d rather just HODL $ 
109	答えは　 # Passion _ 情熱 　だと思う！　 # 月面着陸50周年記念特集 # ディスカバリーチャンネル 金貨・銀貨などプレゼント！ クイズ正解者から抽選で合計100名様に当たるキャンペーンを実施中 詳しくは→ @ DiscoveryJapan $ 
110	Profit Foundation 4th Withdrawal Done NEW PROJECT JOIN NOW on   … # investment # crypto # investor # investing # cryptocurrency # bitcoin # wealth # money # hodl # cryptotrading # websites # blockchain # marketing # account # scams # trader $ 
111	Given Facebooks shady past business practices , announcing # Libra was one of the best things to happen to the # crypto community . Government finally realized that Facebook is the of many to be releasing coins . REALLY SOON ! # Hodl $ 
112	 $ 
113	HOLY ! ! ! $ 
114	 # DLT ( BINANCE ) BUY AROUND 550 589 SEL - 630 - 690 - 740 - 850 - - 999 - 1150 Reason : Dlt having strong support and could pump any time ! DLT mid - term and short term sounds still bullish . Current price 589 Satoshi ! Sell at 15 % - 30 Minimun hodl candy \ + 60 % Stop frame % 9 - $ 
115	"Even crazier my boss who doesn ' t give a f about BTC brought it up twice today with 2 different customers AND HE ' S a NO COINER ! ! He was like yeah it ' s all about security we got our accounts hacked so I guess we are going to crypto graphic transactions , soon ? I was like "" CORRECT "" ! $ "
116	down and down $ 
117	今株は2007年の状況と似てますね。 ただ、世界は利下げに動いていますからファンダの状況は異なります。 もし、利下げ局面なのに株価暴落ならセオリーが崩れますね。 $ 
118	I doubt people like @ orionwl , , maxwell , or @ pwuille ever did because they were smarter than all of us from the get go . The fact that @ pierre _ rochard and @ bitstein never did is extremely impressive . $ 
119	Scam Alert $ 
120	Use it for HODL only $ 
121	Hodl on tight everyone ! $ link atus / 1151620240196939778   … $ 
122	 # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C # retail / 1152141144324788224   … $ 
123	 $ 
124	For the newbies to # XRP . $7 , 000 , 000 , 000 , 000 is the market cap of Gold . The vast majority of y’all won’t buy # XRP until it hits that point . Moral of the story is that we are telling you today . Buy . $ XRP # XRP $ 
125	I won’t hodl any altcoin to end . If the project does hold the course and keep producing - I am out . My two favorite alts right now are $ DIVI and $ WAX . $ 
126	“Neuroscientists have found that the parts of the brain that process financial losses are the same parts that respond to mortal threats . ” - Tony Robbins # HODL $ 
127	Time to grind then my dude . Go scoop up some of those iguanas that are tucking up your ecosystem and sell them to a pet shop lol $ 
128	"Without typos we ' d never have gems like "" hodl "" $ "
129	I need to hodl Bit - Commmm who ' s exchanging this ? ! $ 
130	 # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C @ BIZpaye   / 1150208334672400384   … $ 
131	 $ 
132	It ' s always refreshing to see a politician on TV that isn ' t a snivelling little weasel with a corporate agenda . $ 
133	1 . I think Deutsche Bank is the Bear - Stearns of this time . 2 . I think the banks back to 2008 level speculation bridge jumping . us / 1151459610735386624   … $ 
134	Holy fucking shit . He thinks this is a woman issue . status / 1151785580306599942   … $ 
135	$ DLT ST1 Hit ! 26 % Profit For more info , join t . me / phoenixICF   $ IOTA # cryptonex $ RDN # zcash $ TOMO $ BAY # tron # aelf $ DGB $ DOCK $ ELA $ IGNIS # augur $ SMT $ DRGN $ BCN $ AION # hodl $ CVC # matic $ ANT # nexus # emercoin # siacoin # aeternity 616612130 $ 
136	Number go up is all they need to care about . $ 
137	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2YWIeAZ   $ 
138	Wow Bitcoin took a huge detour since this talk by Mike . He didn ' t say hodl or sov once . . . Hmmmmm . s / 1151702428624052225   … $ 
139	Dont thank I who Hodl Thank he who Fomo . Satoshi 1 : 01 $ 
140	 @ PropyInc $ 
141	You mean those who hodl $ XRP shall inherit the earth # xrpthestandard $ 
142	" "" Bitcoin is a tool to send Bitcoin "" $ "
143	Lol you think pomp is a maximalist . That’s cute . $ 
144	One of the most laughable tweets I’ve read all year . Congrats ! $ 
145	AMAZING s / 1151779916511268864   … $ 
146	Traders need to # hodl and look away when the price goes against you . If you believe in your reasons for entering into a stock on most occasions those reasons will hold true and you will be rewarded in the long term . Stop over trading . # trading $ 
147	Selling a “ hodl stash” lol $ 
148	" "" Smart money "" $ "
149	Leave him out of this one . $ 
150	Couldn’t agree more It’s the beginning of a new era evolving in front of our eyes . Yet the majority is still too blind to see . Once they start recognizing , Bitcoin price will explode to yet unimaginable heights . Question is if one can hodl until then . Most won’t . $ 
151	Excited to share this item from my # etsy shop : Sticker cryptocurrency Crypto Currency HODL To The Moon ! Vinyl Sticker Internet Meme Funny Ethereum Laptop Decal Litecoin xrp dash eos ada etsy . me / 2LxzvSO   $ 
152	 # Energy , It’s Time to Boost it Up With # Blockchain Technology ! Link : s / energy - its - time - to - boost - it - up - with - blockchain - technology - 8982a42f85df   … # altcoin # binaryoptions # wealth # trade # hodl # blockchain # finance # metals # mining # cryptomining # cryptoworld # investors # altcoins # bullion # ETF $ 
153	ETHNews : Facebook Yet To Contact Swiss Data Protection Group dlvr . it / R8b8MC   $ 
154	また暇なんで独断と偏見でまとめてみました。 ベーシックインカムいいよね。ほしいよね。 MMT言ってる連中はほとんどビットコインは否定または無視 \| ALIS alis . to / liskhodler / art icles / K8DG6rXEJodQ   … $ 
155	 # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C # retail / 1152141144324788224   … $ 
156	There is someone who did not hodl past the end of 2017 $ 
157	Crypton Exchange A Revolutionary Cryptocurrency Exchange Visit Website = = > cryptonx . io   @ CryptonXchange # CryptonXchange $ 
158	 # CryptoAmigos # Podcast Episode 1 , Part 1   In Part 1 , we discuss the # price explosion of # bitcoin & the # crypto markets today , # trading & # HODL strategies , # Trump tweeting about bitcoin , & JP Morgan ' s drug boat bust ! ! ! @ Coachkcrypto @ RobHarris1982 $ 
159	I forgive but never forget . $ 
160	 @ carterthomas do you still # hodl $ link ? $ 
161	So the Greek Prime Minister blocked me because I suggested that he should # HODL . . . . it’s so funny that the political party he leads is called New Democracy . I guess in his concept of democracy sound money does not exist . $ 
162	hodl , see my profile , a few sats for the missus pls $ 
163	Give me # pump into the # alts ! Will start soon . . . . keep close ! # crypto # hodl # trade # forex # exchange # binance # upbit # bitfinex # bittrex # bitcoin # pump # altcoin # altseason # fomo # coin # accumulate # spike # blockchain # mcap # moon # alts # breakout # rumors # pigzbe # events # mcap300 $ 
164	I appreciate that but there is no question about volatility however if somebody needs to hodl they should not be swayed by the volatility since link is greatly undervalued and many will miss if they keep going in and out $ 
165	Altını ve gümüşü senelerdir hodl ettiğim ( elimde tuttuğum ) için bu tip konularda hiç tecrübem yok $ 
166	Scammers $ 
167	You tell Em Darby @ darby5150ez \ + . 589 @ xrptipbot XRP BABY @ tylerwinklevoss \ + . 589 @ xrptipbot XRP THE STANDARD # 0DOUBT # HODL # LIFE # XRP # XRPNEWS # CKJTV # CKJCRYPTONEWS # DRFOMO atus / 1151475460368289792   … $ 
168	I ' m going to hodl this year $ 
169	“It is also a good time to ask what will be the next - best currency or storehold of wealth to have when most reserve currency central bankers want to devalue their currencies in a fiat currency system . ” # HODL @ Bitcoin atus / 1151550994129543169   … $ 
170	Waiting for you to be a guest on her show ! $ 
171	HODL ! $ 
172	BRING ON LIBRA ! AND THEN BRING ON GOOGLE COIN , NETFLIX COIN , ALL THE FANG COINS ! ! ! ! ! I WELCOME INNOVATION WITH OPEN ARMS BUT THEY WILL NEVER BE BITCOIN ! 1624604110262272   … $ 
173	 # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C # retail / 1150691652736049152   … $ 
174	Only when im square on my leverage positions . Hodl portfolio is long term so dont care about price today $ 
175	Maybe cut homelessness in half . $ 
176	$ erd closer . What will it do ? Post below $ 
177	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2XULTxR   $ 
178	Horrible take . They made sure he got the max . They also put him on the Warriors loll horrible take $ 
179	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2LtEx2J   $ 
180	 # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C # retail   bizpayecrypto . io /   / 1151499430559981568   … $ 
181	Hahah . Let’s hodl for life $ 
182	Should I # HODL or should I sell . . hmm . # chainlink $ LINK $ 
183	Excited to share this item from my # etsy shop : Sticker cryptocurrency Crypto Currency HODL To The Moon ! Vinyl Sticker Internet Meme Funny Ethereum Laptop Decal Litecoin xrp dash eos ada etsy . me / 32FQLL9   $ 
184	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2YWQ11B   $ 
185	I should note that of course I wouldn ' t be so stupid as to have 1 . 6 BTC . This my real balance # hodl $ 
186	What about a coin that is gold backed ? Altcoin or no ? $ 
187	Use this SUPERWALLET to HODL your Crypto coins . and get paid in CTO everyday . Android and iOS app in app stores - Cloud wallet Find out more here = = >   $ 
188	me2 if the us govt or FB told me the sun rose in the morning i would go to the window and check to be sure $ 
189	VERY EXCITING TIMES MY FRIEND $ 
190	I like watching two friends fight , but I have to side with Shinobi on this . So now its the 3 of us . Hodl you ready for a 2 on 1 ? $ 
191	“Optics” lol $ 
192	But you’re still not going to buy status / 1151430445965426688   … $ 
193	Fuck yeah ! ! ! $ BTC now above 10K and closing in on 11K . $ LTC $97 ! Sometimes I amaze myself . It ' s all about timing $ 
194	ほんとMMTの動画見てください 確かに素晴らしいし、合ってるのだと思います が、本質は今のお金に価値が全く無いと理論付けているようなもの だから余計にゴールドやビットコインが何故価値があるかわかるはずです 80 % の人が無茶なら成り立つ世界ですね。 $ 
195	 / status / 1151886683635355653 ? s = 20   … $ 
196	Use this SUPERWALLET to HODL your Crypto coins . and get paid in CTO everyday . Android and iOS app in app stores - Cloud wallet Find out more here = = >   $ 
197	 @ BIZpaye # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading / 1150208334672400384   … $ 
198	It’s been removed . Did mr kitao tweet something ? $ 
199	A write - up from @ RealCoinGeek about our client @ UnitedCoin _ # yeswecoin @ cavs - take - the - court - with - crypto - partnership /   … # crypto # blockchain # bitcoin # ethereum # litecoin # cryptocurrency # NBA # cavs # fintech # btc # eth # ltc # business # altcoin # cryptoworld # hodl # investing $ 
200	Wtf $ 
201	私はもうこの手の投資中心に生きる。 短期トレードなんかどうでもええ。 投資と山師！あなたはそのタイミングで買えたか！？ \| ALIS alis . to / liskhodler / art icles / 375G4Q49LQeX   … $ 
202	Wow . I’m in disbelief ! This is truly an incredible time to be alive ! Congress is slowly waking up to the fact that you’ll never be able to stop Bitcoin tus / 1151539975063609344   … $ 
203	Eventually everyone gets it . $ 
204	"Scary video "" The US can always print more money . "" zZvhI   … # xrp # Ripple $ XRP # xrptherstandard @ XRPTrump @ CKJCryptonews @ BakkupBradley @ annaliz _ george @ Ali _ G _ Ali _ @ haydentiff @ Hodor @ jungleincxrp @ val5linx @ BirdDog1227 @ sentosumosaba $ "
205	Have the freedom to work in the place you want and at the time you want . Do you want to learn trading and start generating in the world of forex and cryptocurrencies ? . Contact me # bitcoin # finance # investors # WallStreet # crypto # hodl # trader # Marketing $ 
206	Where is that ? Nice view . : ) $ 
207	Buy half bitcoin HODL and take some vacations much deserved ; ) $ 
208	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2O4Q2jm   $ 
209	"Pro Tip : Measure your expenses in Sats . I know it ' s "" too early "" for BTC to be a Unit of Account , but if you use it that way , you ' ll start to respect it more , and realise things are \ * more expensive \ * when the fiat price of Bitcoin falls . Will help you Hodl better . $ "
210	HODL my $LINKIES $ 
211	And blessed are those that will bag some fesschain and hodl # Fesschain $ 
212	Sir when next IEO ? $ 
213	Would be worth something like 17 mill now lol someday its never gonna be unser 10 , 000 per coin just as itll nevwe be 1 , 000 again . # HODL # Btc # ToTheMoon # EndTheFed $ 
214	you silly duck just hodl bitcoin stop $ 
215	 coinchoice . net / interview - bitr ue - ceo - curis - wang _ 201907 /   … $ 
216	 # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C # retail / 1151438951397437440   … $ 
217	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2Z12UrE   $ 
218	All day . . . every day status / 1151893107279093760   … $ 
219	Sure we do . It’s going up inevitably going up . . . and that’s why we hodl . . $ 
220	Excited to share this item from my # etsy shop : Sticker cryptocurrency Crypto Currency HODL To The Moon ! Vinyl Sticker Internet Meme Funny Ethereum Laptop Decal Litecoin xrp dash eos ada etsy . me / 2SmHtyR   $ 
221	 tus / 1151724642022723586 ? s = 19   … $ 
222	Tron . Didn’t buy much . Maybe $50 worth . Will HODL till it either moons or tanks . But it still bugs me that I should have bought $50 worth of something else . $ 
223	Vc não tem a mínima ideia do q está falando , mas vale a zoeira . Não vai passar por bobo pq tem outros com a mesma retórica . Depois podem criar um grupo pra lamentarem juntos . $ 
224	Slander $ 
225	Excited to share this item from my # etsy shop : Crypto crewneck , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , Sweatshirt , Pullover , Hoodie , Longsleeve , Pulp fiction etsy . me / 2XTMaRG   $ 
226	HODLing crypto be like . . . # bitcoin # BTC # btc # ETH # LTC # XLM # Zcash # HODL # LitecoinFam # ZRX # monero # ICX # XMR # DecreD # wax # twitch # FOMO # altcoins # BitcoinIsBack # alts # ALTSEASON # cryptocurrency # cryptocurrencies $ 
227	 ple - ceo - brad - garlinghouse - says - payments - innovation - needs - regulation - but - doesnt - need - facebook /   … $ 
228	Scam Alert $ 
229	I wondered where the bear came from ! $ 
230	I just LOOOOVE reading threads like this . It makes me understand and realize that there are so much stuff i don ' t have a clue about , but that i still can trust the world to continue spinning thank ' s to people who does ! You guys build . I Hodl . $ 
231	I just did it , now I can HODL some more stuff $ 
232	 # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C # retail / 1151438951397437440   … $ 
233	This is to say that once someone experiences @ IOStoken , they seem to like the overall experience ! Just no one I talk to knows about IOST . $ 
234	how much stamina drinks can i hodl $ 
235	Nope I know this . Only good it you intend to invest in bitcoin ethereum bcash litecoin or Xrp . Not a trading account just hodl $ 
236	I don ' t think any altcoin dev did either . $ 
237	"How much will America put up with ? You are being lied to about EVERYTHING , you have been tricked , wake up ! None of what they tell you is "" fact "" . Americans are being taken for as # Fools , how much will you take ? Comedy , if it was not so scary . Putin wins ! # Clueless # Embarrassing us / 1151827130063425536   … $ "
238	I doubt that there are many who havent shitcoined at some point . $ 
239	Buy the dip before it’s gone . . . Hodl # XRP ! ! Wonka Knows ! ! $ 
240	Mixed bag . Hyperledger will probably own most of that space . Several of the current supply chain projects ' tokenomics don ' t make sense , especially at the enterprise level . $ 
241	Get fuckeedddddddddd $ 
242	 @ BadCryptotrader @ UpdatesTrade @ IamCryptoWolf l / status / 1151336898415276032   … $ 
243	helps to look away and hodl $ 
244	"ECB mandate revision : "" below - but - close - to 2 % "" - > "" HODL "" $ "
245	Yeah the browser features r great for sure . Just got HODL for the rebound $ 
246	Use my referral link   to sign up for Crypto . com   and we both get $50 USD : ) $ 
247	Those who # HODL the best crypto projects , will fly to the moon ! In 50 years we can celebrate this anniversary , together with the real moon landing ( 100 years ) ! Cheers ! $ 
248	HODL baby ! ! $ 
249	Correct opinion : @ JoeSquawk is single handedly responsible for the level of wokeness we saw in congress today . $ 
250	Spot on American Hodl . $ 
